Rank,"Change since 2015",Country or territory,Human development index (*), "% annual growth (2010–2023)"
1,(2),Iceland,0.972,0.28%
2,(1),Norway,0.970,0.25%
2,,Switzerland,0.970,0.24%
4,(2),Denmark,0.962,0.35%
5,(1),Germany,0.959,0.19%
5,,Sweden,0.959,0.38%
7,(1),Australia,0.958,0.20%
8,(1),Hong Kong,0.955,0.38%
8,(2),Netherlands,0.955,0.26%
10,(3),Belgium,0.951,0.26%
11,(4),Ireland,0.949,0.38%
12,(4),Finland,0.948,0.27%
13,(2),Singapore,0.946,0.25%
13,(2),United Kingdom,0.946,0.24%
15,(27),United Arab Emirates,0.940,1.04%
16,(2),Canada,0.939,0.22%
17,(1),Liechtenstein,0.938,0.23%
17,(5),New Zealand,0.938,0.13%
17,,United States,0.938,0.10%
20,(1),South Korea,0.937,0.36%
21,(2),Slovenia,0.931,0.33%
22,(3),Austria,0.930,0.21%
23,(3),Japan,0.925,0.16%
24,(5),Malta,0.924,0.50%
25,(3),Luxembourg,0.922,0.14%
26,(1),France,0.920,0.28%
27,(3),Israel,0.919,0.26%
28,,Spain,0.918,0.40%
29,(3),Czechia,0.915,0.22%
29,(1),Italy,0.915,0.30%
29,(2),San Marino,0.915,0.32%
32,(1),Andorra,0.913,0.20%
32,(3),Cyprus,0.913,0.45%
34,(3),Greece,0.908,0.18%
35,(1),Poland,0.906,0.35%
36,(5),Estonia,0.905,0.33%
37,(9),Saudi Arabia,0.900,0.70%
38,(1),Bahrain,0.899,0.80%
39,(4),Lithuania,0.895,0.32%
40,(2),Portugal,0.890,0.42%
41,(1),Croatia,0.889,0.53%
41,(4),Latvia,0.889,0.51%
43,(4),Qatar,0.886,0.45%
44,(6),Slovakia,0.880,0.14%
45,(1),Chile,0.878,0.47%
46,(1),Hungary,0.870,0.22%
47,(7),Argentina,0.865,0.15%
48,,Montenegro,0.862,0.38%
48,(13),Uruguay,0.862,0.47%
50,(1),Oman,0.858,0.22%
51,(7),Turkey,0.853,1.10%
52,(1),Kuwait,0.852,0.36%
53,(5),Antigua and Barbuda,0.851,0.18%
54,(5),Seychelles,0.848,0.30%
55,(1),Bulgaria,0.845,0.09%
55,(2),Romania,0.845,0.14%
57,(6),Georgia,0.844,0.54%
58,(4),Saint Kitts and Nevis,0.840,0.49%
59,(6),Panama,0.839,0.47%
60,(12),Brunei,0.837,0.13%
60,(1),Kazakhstan,0.837,0.38%
62,(3),Costa Rica,0.833,0.39%
62,(5),Serbia,0.833,0.39%
64,(12),Russia,0.832,0.25%
65,(10),Belarus,0.824,0.12%
66,(3),Bahamas,0.820,0.21%
67,(2),Malaysia,0.819,0.41%
68,(4),North Macedonia,0.815,0.21%
69,,Armenia,0.811,0.52%
69,(9),Barbados,0.811,0.18%
71,,Albania,0.810,0.25%
72,(10),Trinidad and Tobago,0.807,0.30%
73,,Mauritius,0.806,0.44%
74,(7),Bosnia and Herzegovina,0.804,0.68%
75,(1),Iran,0.799,0.26%
76,(11),Saint Vincent and the Grenadines,0.798,0.17%
76,(2),Thailand,0.798,0.65%
78,(16),China,0.797,1.02%
79,(5),Peru,0.794,0.42%
80,(4),Grenada,0.791,0.15%
81,(1),Azerbaijan,0.789,0.30%
81,(2),Mexico,0.789,0.37%
83,(3),Colombia,0.788,0.29%
84,(4),Brazil,0.786,0.43%
84,(17),Palau,0.786,0.23%
86,(5),Moldova,0.785,0.53%
87,(10),Ukraine,0.779,0.35%
88,,Ecuador,0.777,0.32%
89,(6),Dominican Republic,0.776,0.67%
89,(33),Guyana,0.776,1.11%
89,(8),Sri Lanka,0.776,0.50%
92,(4),Tonga,0.769,0.35%
93,(10),Maldives,0.766,0.81%
93,(16),Vietnam,0.766,0.60%
95,(8),Turkmenistan,0.764,0.52%
96,(3),Algeria,0.763,0.27%
97,(16),Cuba,0.762,0.16%
98,,Dominica,0.761,0.06%
