Country/Territory,Median internet download speed (Mbit/s) (*)
Singapore,425.46
United Arab Emirates,384.51
Hong Kong,352.40
France,352.35
Iceland,347.30
Chile,334.99
Macau,318.05
United States,309.80
Switzerland,292.56
Denmark,291.60
Romania,283.06
Vietnam,281.72
Israel,281.29
Thailand,279.65
Spain,277.98
Canada,277.70
Taiwan,270.85
Peru,258.37
South Korea,257.76
Japan,255.27
Hungary,251.72
Portugal,243.84
Netherlands,237.66
Kuwait,230.24
Poland,223.25
Brazil,221.53
Luxembourg,221.23
Ireland,220.71
Panama,219.49
Lithuania,218.67
Colombia,214.30
Sweden,213.29
Qatar,211.97
Malta,209.61
China,206.91
New Zealand,201.91
Slovenia,200.99
Jordan,194.10
Uruguay,181.44
Finland,180.47
Norway,177.11
United Kingdom,172.24
Ecuador,169.66
Costa Rica,169.03
Malaysia,168.07
Saudi Arabia,167.93
Cyprus,165.55
Trinidad and Tobago,158.25
Australia,154.09
Moldova,153.46
Latvia,146.87
Bahrain,145.88
Montenegro,144.78
Guyana,141.12
Belgium,140.97
Croatia,136.75
Paraguay,118.56
Italy,117.11
Slovakia,114.33
Austria,114.00
Argentina,111.54
Philippines,109.86
El Salvador,108.77
Mexico,104.25
Germany,103.72
Serbia,102.35
Venezuela,100.11
Oman,96.05
Estonia,95.32
Nicaragua,95.11
Grenada,94.79
Bulgaria,94.44
Greece,94.29
Albania,93.64
Uzbekistan,93.35
Guatemala,92.98
Czech Republic,92.71
Egypt,92.50
Ukraine,92.24
Honduras,92.00
Azerbaijan,91.37
Russia,91.29
Belarus,90.61
Brunei,90.29
Kosovo,89.32
Kazakhstan,88.10
Kyrgyzstan,87.14
Jamaica,86.55
Palestine,85.12
Nepal,84.34
Armenia,84.16
Bahamas,83.79
Mongolia,83.35
Turkey,80.02
Suriname,74.20
Dominican Republic,72.63
Bolivia,67.01
Bangladesh,66.02
Ivory Coast,62.70
Mauritius,61.24
India,60.85
Algeria,59.95
North Macedonia,56.88
Mauritania,56.45
Laos,56.30
Morocco,56.22
Cambodia,53.08
Haiti,52.33
Belize,50.45
Burkina Faso,50.02
Ghana,49.64
South Africa,48.90
Botswana,47.78
DR Congo,46.07
Indonesia,45.91
Antigua and Barbuda,45.11
Tajikistan,45.10
Georgia,44.73
Iraq,44.19
Rwanda,43.52
Mozambique,40.68
Gabon,39.17
Sri Lanka,38.61
Senegal,38.06
Nigeria,36.81
Bosnia and Herzegovina,36.80
Maldives,36.72
Togo,35.17
Zambia,32.92
Madagascar,32.50
Myanmar,30.94
Benin,30.60
Zimbabwe,30.40
Uganda,30.25
Iran,26.00
Mali,24.20
Tanzania,23.84
Angola,22.87
Somalia,21.22
Tunisia,20.24
Lebanon,19.90
Djibouti,18.06
Pakistan,17.90
Guinea,17.81
Cameroon,17.41
Namibia,17.01
Kenya,16.48
Yemen,16.07
Libya,11.65
Ethiopia,11.17
Afghanistan,4.93
Syria,4.24
Cuba,3.83
