Country/Region, Number of official languages (*),Official language(s),Regional language(s),Minority language(s),National language(s),Widely spoken
Abkhazia,2,"Abkhaz
Russian",,Georgian,Abkhaz,
Afghanistan,2,"Persian (Dari)
Pashto","Uzbek
Turkmen
Pashayi
Nuristani
Balochi
Pamiri",,"Persian (Dari)
Pashto",Persian (Dari)
Albania,1,Albanian,,"Greek
Macedonian
Aromanian",,Italian
Algeria,2,"Arabic
Berber",,,"Arabic
Berber",French
Andorra,1,Catalan,,"Spanish
French
Portuguese",,
Angola,1,Portuguese,,,"Kimbundu
Umbundu
Kikongo
Chokwe
Kwanyama
Ganguela[citation needed]",Angolan Portuguese
Antigua and Barbuda,1,(English and (Spanish),,,,Antiguan and Barbudan Creole
Argentina,2,"None at federal level (Spanish has de facto status)
Argentine Sign Language","Spanish (in Corrientes and Chaco)
Guaraní (in Corrientes)
Kom (in Chaco)
Moquoit (in Chaco)
Wichi (in Chaco)",,,"Argentine Spanish
English
Italian
German
French
Welsh (in Chubut state)"
Armenia,1,Armenian,,,Armenian (state language),Russian
Australia,1,None (English has de facto status),"Cocos Malay (on Cocos (Keeling) Islands)
English (official status on Norfolk Island)
Malay (on Christmas Island)
Mandarin Chinese (on Christmas Island)
Norfuk (on Norfolk Island)",,,
Austria,1,German,"Burgenland Croatian (parts of Burgenland)
Hungarian (parts of Burgenland)
Slovene (parts of Carinthia)","Slovene
Czech
Hungarian
Slovak
Romani
Serbian",German (state language),English
Azerbaijan,1,Azerbaijani,,,Azerbaijani (state language),Russian
Bahamas,1,English,,,,
Bahrain,1,Arabic,,English,,
Bangladesh,1,Bengali,"Sylheti (parts of Sylhet Division)
Chittagonian (parts of Chittagong Division)
Rangpuri/Kamtapuri (parts of Rangpur Division)","Chakma
Marma
Rakhine
Hajong
Santali
Tripuri
Manipuri",Bengali,
Barbados,1,English,,,,
Belarus,2,"Belarusian
Russian",,,Belarusian,Russian
Belgium,3,"Dutch
French
German","Dutch (Flanders, Brussels)
French (Brussels, Wallonia)
German (German-speaking community)",,,English
Belize,1,English,,Garifuna,,"Kriol (lingua franca)
Spanish (border with Mexico and Guatemala)"
Benin,1,French,,,,
Bhutan,1,Dzongkha,,,,
Bolivia,37,"Castilian (Spanish)
Aymara
Araona
Baure
Bésiro (Chiquitano)
Canichana
Cavineña
Cayubaba
Chácobo
Chimán
Ese Ejja
Guaraní
Guarasu'we
Guarayu
Itonama
Leco
Machajuyai-Kallawaya
Machineri
Maropa
Mojeño-Ignaciano
Mojeño-Trinitario
Moré
Mosetén
Movima
Pacawara
Puquina
Quechua
Sirionó
Tacana
Tapieté
Toromona
Uru-Chipaya
Weenhayek
Yaminawa
Yuki
Yuracaré
Zamuco",,,
Bosnia and Herzegovina,3,"None (Bosnian, Croatian and Serbian all have de facto status)",,,,
Botswana,1,English,,,Tswana,"Other Bantu languages
Several Khoisan languages"
