Rank,Country,Obesity Rate (%) (*)
1,Tonga,70.5
2,Nauru,70.2
3,Tuvalu,63.9
4,Samoa,61.2
5,The Bahamas,47.6
6,Marshall Islands,47.3
7,Saint Kitts and Nevis,46.6
8,Kiribati,46.2
9,Micronesia,45.6
10,Kuwait,45.2
11,Qatar,43.8
12,Egypt,43.0
13,United States,42.9
14,Palau,42.2
15,Belize,41.9
16,Saudi Arabia,41.4
17,Chile,39.5
18,Georgia,38.9
19,Romania,38.2
20,Barbados,38.2
21,Iraq,37.4
22,Bahrain,37.2
23,Hungary,36.4
24,Libya,36.2
25,Mexico,36.1
26,Panama,36.1
27,Argentina,36.0
28,Croatia,35.7
29,Jordan,35.6
30,Uruguay,34.7
31,Malta,34.6
32,Turkey,34.3
33,New Zealand,34.2
34,Jamaica,34.2
35,Antigua and Barbuda,34.1
36,Saint Lucia,33.9
37,Fiji,33.8
38,Greece,33.7
39,Saint Vincent and the Grenadines,33.6
40,Nicaragua,32.4
41,Brunei,32.4
42,Paraguay,32.1
43,Costa Rica,32.0
44,Australia,31.8
45,United Arab Emirates,31.5
46,Dominica,31.5
47,Poland,31.4
48,Czech Republic,31.3
49,Syria,31.2
50,Lithuania,31.1
51,Lebanon,31.1
52,Ireland,30.8
53,North Macedonia,30.6
54,Grenada,30.5
55,Slovakia,30.3
56,Seychelles,30.3
57,Oman,30.2
58,South Africa,30.0
59,El Salvador,29.9
60,Latvia,29.8
61,Ukraine,29.2
62,Trinidad and Tobago,29.2
63,Dominican Republic,29.1
64,Suriname,29.0
65,Brazil,28.8
66,United Kingdom,28.7
67,Honduras,28.5
68,Uzbekistan,28.5
69,Tunisia,28.3
70,Greenland,28.2
71,Russia,28
72,Guyana,28.0
73,Armenia,27.9
74,Bolivia,27.8
75,Azerbaijan,27.5
76,Canada,27.3
77,Eswatini,27.3
78,Peru,27.2
79,Portugal,27.1
80,Ecuador,27.0
81,Estonia,26.7
82,Albania,26.6
83,Belarus,26.6
84,Serbia,26.1
85,Moldova,25.6
86,Bosnia and Herzegovina,25.5
87,Iran,25.3
88,Guatemala,25.2
89,Cyprus,25.1
90,Kyrgyzstan,24.4
91,Algeria,24.2
92,Bulgaria,24.2
93,Germany,24.2
94,Mongolia,24.0
95,Colombia,23.9
96,Finland,23.7
97,Cuba,23.5
98,Israel,23.4
99,Venezuela,22.8
100,Iceland,22.6
101,Malaysia,22.4
102,Slovenia,22.2
103,Morocco,22.1
104,Belgium,22.0
105,Pakistan,21.8
106,Solomon Islands,21.6
107,Italy,21.6
108,Montenegro,21.1
109,Mauritania,20.8
110,Tajikistan,20.8
111,Andorra,20.5
112,Luxembourg,20.2
113,Turkmenistan,20.2
114,Papua New Guinea,20.1
115,Gabon,20.0
115,Vanuatu,19.9
117,Norway,19.8
118,Mauritius,19.5
119,Kazakhstan,19.3
120,Lesotho,19.3
121,Spain,19.2
122,Afghanistan,17.6
123,Maldives,17.6
124,Botswana,17.5
125,Equatorial Guinea,17.2
126,Austria,17.0
127,Netherlands,16.9
128,Sweden,16.4
129,Liberia,16.2
130,Comoros,15.5
131,Sudan,15.5
132,Namibia,15.3
133,Cape Verde,15.1
134,São Tomé and Príncipe,15.0
135,Thailand,14.5
136,Denmark,14.3
137,Switzerland,13.7
138,Singapore,13.5
139,Cameroon,13.4
140,The Gambia,13.2
141,Somalia,12.7
142,Zimbabwe,12.4
143,Ghana,12.1
144,Bhutan,12.0
145,Yemen,11.6
146,Indonesia,11.5
147,Tanzania,11.4
148,Kenya,11.0
149,France,10.9
150,Djibouti,10.9
151,Nigeria,10.8
152,Sri Lanka,10.6
153,Ivory Coast,10.6
154,Angola,10.5
155,Haiti,10.2
156,Togo,10.4
157,Guinea-Bissau,10.1
158,Mali,10.0
159,Benin,9.9
160,Zambia,9.4
161,Mozambique,8.8
162,Philippines,8.7
163,Senegal,8.7
164,Guinea,8.3
165,China,8.2
166,South Sudan,8.0
167,Republic of the Congo,8.0
168,Laos,7.8
169,Central African Republic,7.7
170,Myanmar,7.5
171,India,7.2
172,Uganda,6.9
173,South Korea,6.7
174,Nepal,6.6
175,Sierra Leone,6.5
176,Malawi,6.4
177,Burkina Faso,6.1
178,DR Congo,5.8
179,Chad,5.7
180,Niger,5.3
181,Burundi,4.5
182,Bangladesh,5.3
183,Japan,4.9
184,Eritrea,4.2
185,Rwanda,4.6
186,Cambodia,4.4
187,Madagascar,3.8
188,Ethiopia,2.4
189,East Timor,2.2
190,Vietnam,2.1
191,North Korea,1.9
