Location,Population (*),"% of world",Date,"Source (official or from the United Nations)",Notes
World,"8,232,000,000",100%,13 Jun 2025,UN projection,
India,"1,417,492,000",17.2%,1 Jul 2025,Official projection,
China,"1,404,890,000",17.0%,31 Dec 2025,Official estimate,
United States,"341,784,857",4.1%,1 Jul 2025,Official estimate,
Indonesia,"288,315,089",3.5%,31 Dec 2025,National annual projection,
Pakistan,"241,499,431",2.9%,1 Mar 2023,2023 census result,
Nigeria,"223,800,000",2.7%,1 Jul 2023,Official projection,
Brazil,"213,421,037",2.6%,1 Jul 2025,Official estimate,
Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result,
Russia,"146,028,325",1.8%,1 Jan 2025,Official estimate,
Mexico,"131,001,723",1.6%,31 Dec 2025,National quarterly estimate,
Japan,"122,810,000",1.5%,1 May 2026,Monthly national estimate,
Philippines,"114,123,600",1.4%,1 Jul 2025,Official projection,
Democratic Republic of the Congo,"112,832,000",1.4%,1 Jul 2025,UN projection,
Ethiopia,"111,652,998",1.4%,1 Jul 2025,National annual projection,
Egypt,"108,613,296",1.3%,1 Jan 2026,Official estimate,
Vietnam,"102,300,000",1.2%,31 Dec 2025,Official estimate,
Iran,"92,417,681",1.1%,31 Dec 2025,Official projection,
Turkey,"86,092,168",1.0%,31 Dec 2025,Official estimate,
Germany,"83,497,147",1.0%,30 Sep 2025,National quarterly estimate,
United Kingdom,"69,487,000",0.8%,30 Jun 2025,Official estimate,
France,"69,081,996",0.8%,1 Jan 2026,Yearly national estimate,
Tanzania,"68,153,004",0.8%,1 Jul 2025,Official projection,
Thailand,"65,826,149",0.8%,30 Nov 2025,Monthly national estimate,
South Africa,"63,100,945",0.8%,30 Jun 2025,Official estimate,
Italy,"58,932,330",0.7%,28 Feb 2026,Monthly national estimate,
Kenya,"53,330,978",0.6%,1 Jul 2025,Official projection,
Colombia,"53,057,212",0.6%,1 Jan 2025,Official projection,
Sudan,"51,662,000",0.6%,1 Jul 2025,UN projection,
Myanmar,"51,375,327",0.6%,15 Oct 2024,2024 census result,
South Korea,"51,111,158",0.6%,31 Jan 2026,Monthly national estimate,
Spain,"49,687,120",0.6%,1 Apr 2026,National quarterly estimate,
Algeria,"47,400,000",0.6%,1 Jan 2025,National annual projection,
Argentina,"46,387,098",0.6%,1 Jul 2025,National annual projection,
Iraq,"46,118,793",0.6%,21 Nov 2024,2024 census result,
Uganda,"45,905,417",0.6%,10 May 2024,2024 census result,
Afghanistan,"43,844,000",0.5%,1 Jul 2025,UN projection (see note),
Canada,"41,472,081",0.5%,1 Jan 2026,National quarterly estimate,
Angola,"38,778,554",0.5%,1 Jan 2026,National Estimate,
Uzbekistan,"38,382,685",0.5%,1 Apr 2026,Official estimate,
Poland,"37,296,000",0.5%,28 Feb 2026,Monthly national estimate,
Morocco,"36,828,330",0.4%,1 Sep 2024,2024 census result,
Saudi Arabia,"35,300,280",0.4%,1 Jul 2024,Official estimate,
Malaysia,"34,374,300",0.4%,31 Mar 2026,National quarterly estimate,
Peru,"34,350,244",0.4%,1 Jul 2025,National annual projection,
Mozambique,"34,090,466",0.4%,1 Jul 2025,National annual projection,
Ghana,"33,742,380",0.4%,1 Jul 2025,National annual projection,
Yemen,"32,684,503",0.4%,1 Jul 2023,Official estimate,
Madagascar,"31,727,042",0.4%,1 Jul 2025,National annual projection,
Ivory Coast,"31,719,275",0.4%,31 Dec 2024,National annual projection,
Nepal,"29,911,840",0.4%,25 Nov 2025,National annual projection,
Cameroon,"29,442,327",0.4%,1 Jul 2025,National annual projection,
Ukraine,"28,700,000",0.3%,1 Sep 2025,State migration service,
Venezuela,"28,517,000",0.3%,1 Jul 2025,UN projection,
Australia,"27,724,744",0.3%,30 Sep 2025,Official projection,
Niger,"27,522,750",0.3%,1 Jul 2025,National annual projection,
North Korea,"25,950,000",0.3%,1 Jul 2024,National annual projection,
Syria,"25,620,427",0.3%,1 Jul 2025,Monthly estimate,
Burkina Faso,"24,070,553",0.3%,1 Jul 2025,Official projection,
Taiwan,"23,262,544",0.3%,30 Apr 2026,Official estimate,
Mali,"22,395,489",0.3%,15 Jun 2022,2022 census result,
Sri Lanka,"21,781,800",0.3%,19 Dec 2024,2024 census result,
Malawi,"20,734,262",0.3%,1 Jul 2025,National annual projection,
Kazakhstan,"20,547,909",0.2%,1 Apr 2026,Official estimate,
Chile,"20,206,953",0.2%,30 Jun 2025,National annual projection,
Zambia,"19,693,423",0.2%,8 Sep 2022,2022 census result,
Somalia,"19,655,000",0.2%,1 Jul 2025,UN projection,
Chad,"19,340,757",0.2%,1 Jul 2025,National annual projection,
Senegal,"19,075,959",0.2%,1 Jul 2025,National annual projection,
Romania,"19,036,031",0.2%,1 Jan 2025,Official estimate,
Netherlands,"18,140,853",0.2%,31 Mar 2026,Official estimate,
Ecuador,"18,103,660",0.2%,1 Jul 2025,National annual projection,
Guatemala,"18,312,373",0.2%,1 Jul 2026,National annual projection,
Cambodia,"17,577,760",0.2%,1 Jul 2025,Official projection,
Zimbabwe,"17,073,087",0.2%,1 Jul 2025,Official projection,
Guinea,"17,521,167",0.2%,1 Jul 2025,Census 1 Juli 2025,
South Sudan,"15,786,898",0.2%,1 Jul 2025,National annual projection,
Rwanda,"14,104,969",0.2%,1 Jul 2025,National annual projection,
Benin,"13,224,860",0.2%,1 Jul 2025,National annual projection,
Burundi,"12,332,788",0.1%,16 Aug 2024,Preliminary census result,
Tunisia,"11,972,169",0.1%,6 Nov 2024,2024 census result,
Jordan,"11,937,000",0.1%,31 Dec 2025,National estimate,
Belgium,"11,933,850",0.1%,1 Mar 2026,Official estimate,
Haiti,"11,867,032",0.1%,1 Jul 2024,National annual projection,
Bolivia,"11,365,333",0.1%,23 Mar 2024,2024 census result,
United Arab Emirates,"11,294,243",0.1%,31 Dec 2024,Official estimate,
Czech Republic,"10,915,839",0.1%,31 Dec 2025,Official estimate,
Dominican Republic,"10,771,504",0.1%,10 Nov 2022,2022 census result,
Portugal,"10,749,635",0.1%,31 Dec 2024,Official estimate,
Sweden,"10,604,616",0.1%,31 Mar 2026,Monthly national estimate,
Tajikistan,"10,499,000",0.1%,1 Jan 2025,Official estimate,
Greece,"10,372,335",0.1%,1 Jan 2025,Official estimate,
Azerbaijan,"10,259,701",0.1%,1 Dec 2025,Monthly national estimate,
Israel,"10,244,000",0.1%,21 Apr 2026,Monthly national estimate,
Papua New Guinea,"10,185,363",0.1%,16 Jun 2024,2024 census result,
Honduras,"10,186,738",0.1%,1 Jul 2026,National annual projection,
Cuba,"9,748,007",0.1%,31 Dec 2024,Official estimate,
Hungary,"9,489,000",0.1%,1 Jan 2026,Official estimate,
Austria,"9,219,113",0.1%,1 Jan 2026,National quarterly estimate,
Switzerland,"9,124,288",0.1%,31 Dec 2025,National quarterly estimate,
Sierra Leone,"9,077,691",0.1%,1 Jul 2025,National annual projection,
Belarus,"9,056,080",0.1%,1 Jan 2026,Official estimate,
Togo,"8,095,498",0.10%,8 Nov 2022,2022 census result,
Laos,"7,647,000",0.09%,1 Jul 2024,National annual projection,
Hong Kong (China),"7,510,800",0.09%,31 Dec 2025,National estimate,
Libya,"7,459,000",0.09%,1 Jul 2025,UN projection,
