Location,Population density per km2 (*),Density,Population,Land area,Land area
World,55,140,"8,231,613,070","148,940,000","57,510,000",
Macau (China),"21,826","56,530","720,262",33,13,
Monaco,"19,000","49,000","38,631",2,0.77,
Singapore,"8,290","21,500","6,110,200",737,285,
Hong Kong (China),"7,062","18,290","7,414,910","1,050",410,
Gibraltar (UK),"5,800","15,000","39,329",6.8,2.6,
Bahrain,"2,034","5,270","1,607,049",790,310,
Vatican City,"1,800","4,700",882,0.44,0.17,
Maldives,"1,759","4,560","527,799",298,115,
Malta,"1,686","4,370","539,607",320,120,
Bangladesh,"1,333","3,450","173,562,364","130,170","50,260",
Sint Maarten (NL),"1,275","3,300","43,351",34,13,
Bermuda (UK),"1,197","3,100","64,637",54,21,
Palestine,892,"2,310","5,371,230","6,020","2,320",
Jersey (UK),891,"2,310","103,387",116,45,
Guernsey (UK),867,"2,250","67,642",78,30,
Barbados,657,"1,700","282,468",430,170,
Taiwan,656,"1,700","23,213,962","35,410","13,670",
Mauritius,637,"1,650","1,271,169","1,997",771,
Aruba (NL),600,"1,600","108,066",180,69,
Nauru,597,"1,550","11,947",20,7.7,
Rwanda,578,"1,500","14,256,567","24,670","9,530",
Lebanon,568,"1,470","5,805,962","10,230","3,950",
Saint Barthélemy (France),563,"1,460","11,258",20,7.7,
San Marino,560,"1,500","33,581",60,23,
Burundi,547,"1,420","14,047,786","25,680","9,920",
Netherlands,541,"1,400","18,080,943","33,670","13,000",
South Korea,530,"1,400","51,717,590","97,600","37,700",
Saint Martin (France),523,"1,350","26,129",50,19,
India,488,"1,260","1,450,935,791","3,287,263","1,269,219",
Israel,468,"1,210","10,148,000","21,640","8,360",
Comoros,466,"1,210","866,628","1,861",719,
Haiti,427,"1,110","11,772,557","27,560","10,640",
Curaçao (NL),418,"1,080","185,482",444,171,
Philippines,389,"1,010","115,843,670","298,170","115,120",
Belgium,385,"1,000","11,738,764","30,494","11,774",
Sri Lanka,373,970,"23,103,565","61,860","23,880",
Puerto Rico (US),366,950,"3,242,204","8,870","3,420",
Grenada,345,890,"117,208",340,130,
Japan,340,880,"123,753,041","364,500","140,700",
Tuvalu,322,830,"9,646",30,12,
Guam (US),311,810,"167,777",540,210,
Cayman Islands (UK),310,800,"74,458",240,93,
Vietnam,309,800,"102,300,000","331,212","127,882",
El Salvador,306,790,"6,338,193","20,720","8,000",
Saint Lucia,295,760,"179,744",610,240,
Trinidad and Tobago,294,760,"1,507,782","5,130","1,980",
Pakistan,289,750,"255,300,000","882,363","340,682",
United Kingdom,285,740,"69,281,437","242,741","93,723",
Seychelles,284,740,"130,419",460,180,
Kuwait,277,720,"4,934,508","17,820","6,880",
Gambia,273,710,"2,759,988","10,120","3,910",
Qatar,265,690,"3,048,423","11,490","4,440",
British Virgin Islands (UK),263,680,"39,471",150,58,
Jamaica,262,680,"2,839,175","10,830","4,180",
Luxembourg,261,680,"673,036","2,575",994,
Saint Vincent and the Grenadines,258,670,"100,616",390,150,
Nigeria,255,660,"232,679,478","910,770","351,650",
Tokelau (New Zealand),251,650,"2,507",10,3.9,
Uganda,249,640,"50,015,093","200,520","77,420",
Liechtenstein,249,640,"39,870",160,62,
São Tomé and Príncipe,245,630,"235,537",960,370,
U.S. Virgin Islands (US),243,630,"84,905",350,140,
Germany,242,630,"84,552,242","349,360","134,890",
Dominican Republic,237,610,"11,427,557","48,198","18,609",
American Samoa (US),234,610,"46,765",200,77,
Malawi,230,600,"21,655,286","94,280","36,400",
Switzerland,226,590,"8,921,981","39,510","15,250",
North Korea,220,570,"26,498,823","120,410","46,490",
Antigua and Barbuda,213,550,"93,772",440,170,
Marshall Islands,209,540,"37,548",180,69,
Nepal,207,540,"29,651,055","143,350","55,350",
Italy,201,520,"59,342,867","295,720","114,180",
Saint Kitts and Nevis,180,470,"46,843",260,100,
Togo,175,450,"9,515,236","54,390","21,000",
Andorra,174,450,"81,938",470,180,
Guatemala,172,450,"18,406,359","107,160","41,370",
Bonaire (NL),169,440,"26,552",288,111,
Saba (NL),166,430,"2,158",13,5.0,
Kiribati,166,430,"134,518",810,310,
Anguilla (UK),162,420,"14,599",90,35,
Federated States of Micronesia,162,420,"113,161",700,270,
Sint Eustatius (NL),156,400,"3,270",21,8.1,
United Arab Emirates,155,400,"11,027,129","71,020","27,420",
Kosovo,154,400,"1,674,125","10,887","4,203",
Ghana,151,390,"34,427,414","227,533","87,851",
China,151,390,"1,419,321,278","9,388,210","3,624,810",
Indonesia,150,390,"283,487,931","1,892,555","730,720",
Denmark,149,390,"5,977,413","40,000","15,000",
Isle of Man (UK),148,380,"84,161",570,220,
Cyprus,147,380,"1,358,282","9,240","3,570",
Northern Cyprus,146,380,"489,308","3,355","1,295",
Tonga,145,380,"104,176",720,280,
Thailand,140,360,"71,668,011","510,890","197,260",
Czech Republic,139,360,"10,735,860","77,171","29,796",
Syria,133,340,"24,672,760","185,178","71,498",
Cape Verde,130,340,"524,877","4,030","1,560",
Jordan,130,340,"11,552,876","88,794","34,284",
Benin,128,330,"14,462,724","112,760","43,540",
Poland,126,330,"38,539,201","306,090","118,180",
Azerbaijan,125,320,"10,336,578","82,650","31,910",
France,122,320,"66,548,531","547,557","211,413",
Sierra Leone,120,310,"8,642,023","72,180","27,870",
Egypt,117,300,"116,538,258","995,450","384,350",
Ethiopia,117,300,"132,059,768","1,128,571","435,744",
Slovakia,115,300,"5,506,760","48,080","18,560",
Portugal,114,300,"10,425,293","91,606","35,369",
Turkey,114,300,"87,473,805","769,630","297,160",
Austria,111,290,"9,120,813","82,520","31,860",
Malaysia,108,280,"35,557,674","328,550","126,850",
Iraq,106,270,"46,042,015","434,128","167,618",
Hungary,106,270,"9,676,135","91,260","35,240",
